category,subcategory,date purchased,date first viewed,price,email received
Pants,Short,2014-02-05,2012-08-08,29.39,1
Pants,Short,2014-02-05,2014-01-09,28.39,1
Pants,Short,2014-02-13,2013-07-27,86.6,0
Shirts,Short-sleeve,2014-02-14,2013-07-28,46.09,1
Pants,Long,2014-02-18,2012-08-21,40.0,1
Pants,Long,2014-02-16,2013-07-30,82.6,0
Pants,Long,2014-02-08,2013-11-26,28.0,1
Shoes,Dress,2014-02-06,2014-01-27,33.39,0
Shirts,Long-sleeve,2014-02-13,2013-12-01,36.39,0
Pants,Long,2014-02-04,2014-01-08,28.0,1
Shoes,Sneakers,2014-02-15,2013-07-29,34.72,0
Shoes,Boat,2014-02-06,2014-01-27,30.0,0
Shirts,Long-sleeve,2014-02-05,2014-01-09,35.39,1
Shoes,Sneakers,2014-02-09,2012-08-12,51.09,0
Pants,Long,2014-02-09,2012-08-12,91.6,1
Pants,Long,2014-02-16,2014-01-20,33.39,1
Shirts,Long-sleeve,2014-02-15,2013-12-03,36.0,0
Shirts,T-shirt,2014-02-17,2010-01-25,76.6,1
Pants,Short,2014-02-16,2013-07-30,35.39,1
Shirts,Long-sleeve,2014-02-04,2014-01-08,28.72,1
Shirts,Long-sleeve,2014-02-06,2013-11-24,89.6,1
Shoes,Dress,2014-02-15,2013-07-29,21.0,1
Pants,Long,2014-02-16,2013-12-04,37.0,1
Shoes,Dress,2014-02-05,2013-11-23,29.72,1
Shoes,Boat,2014-02-13,2012-08-16,50.09,1
Shoes,Boat,2014-02-14,2013-12-02,75.6,1
Shoes,Dress,2014-02-16,2010-01-24,45.09,1
Pants,Short,2014-02-14,2010-01-22,24.0,1
Shoes,Dress,2014-02-17,2010-01-25,32.72,1
Shirts,Short-sleeve,2014-02-15,2010-01-23,24.72,0
Shoes,Boat,2014-02-09,2013-07-23,49.09,0
Shoes,Boat,2014-02-14,2013-07-28,28.39,1
Pants,Long,2014-02-16,2014-01-20,32.0,1
Pants,Long,2014-02-15,2014-02-05,83.6,1
Shirts,T-shirt,2014-02-07,2013-07-21,40.09,0
Pants,Long,2014-02-12,2014-02-02,84.6,1
